Variable,wheat,seed_corn,sugar_beet,rapeseed,chickpea,tomato,alfalfa,potato,fodder_corn,bean,barley,grape,apple
mehr(20sep-19oct),0.5,0.8,0.6,0.5,1,0.5,0.8,0.8,0.4,0.7,1,0.3,0.1
aban(20oct-19nov),0.3,0.1,0.4,0.3,0,0.8,0.8,0.5,0.4,0.5,0.3,0.6,1
azar(20nov-19dec),0.3,0.8,0.3,0.2,0.5,0.1,0.2,0,1,0.8,0.4,0.5,0.8
dey(20dec-19jan),0.2,0,0.4,0.2,0.1,0.8,0.7,0.3,1,0.1,0.2,0.7,0.1
bahman(20jan-19feb),0.2,0.8,0.2,0.5,0.3,0.5,0.5,0.8,0.5,0.8,0.7,0.2,0
esfand(20feb-19mar),0,0.5,0.3,0.9,0.8,0.9,0.2,0,0.9,0.2,0.8,0.5,0.4
farvardin(20mar-19apr),1,0.9,0.9,0.6,0.1,0.8,0.5,0.7,0.9,0.4,0.5,0.8,0.7
ordibehesht(20apr-19may),0.6,0.5,0.5,0.8,0.1,0.7,0,0.4,0.5,0.5,0,0.4,0.1
khordad(20may-19jun),0.5,1,0.1,0.9,0.7,0.5,0.2,0.8,0.5,0.2,0.6,0.2,0.9
tir(20jun-19jul),0.7,0.5,0.2,0.9,0.1,0.5,0.8,0.4,0.4,0.2,0.6,0.1,0.9
mordad(20jul-19aug),0.2,1,0.3,0.2,0.3,0.7,0.9,0.6,0.3,0.4,1,0.1,0.3
shahrivar(20aug-19sep),0,0.9,0,0.7,0.3,0.6,0.9,0.9,1,1,0.8,0,0.1